episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
198,19498.14,19618.34,120.20,338.625,32.291,1.566,24,0,2,0,61,16,4,8.851,0,20,3,1
199,19618.34,19687.88,69.54,237.098,30.846,3.616,20,0,0,0,49,12,0,4.501,0,13,1,6
200,19687.88,19799.46,111.58,286.250,26.150,0.617,22,0,1,0,59,10,2,5.551,0,18,0,4
201,19799.46,19863.80,64.34,231.559,23.579,1.383,20,0,0,0,55,7,0,0.750,0,13,1,6
202,19863.80,19983.14,119.34,300.445,26.709,1.650,23,0,1,0,49,16,3,5.401,0,15,6,2
203,19983.14,20096.76,113.62,257.191,27.417,1.250,21,0,1,0,54,11,1,3.151,0,14,2,5
204,20096.76,20209.28,112.52,326.254,26.123,0.267,23,0,1,0,69,12,3,5.101,0,17,0,6
205,20209.28,20310.66,101.38,260.125,24.021,0.700,21,0,1,0,53,14,1,1.800,0,15,3,3
206,20310.66,20424.52,113.86,260.285,26.107,1.266,21,0,1,0,57,16,1,4.201,0,14,3,4
207,20424.52,20538.98,114.46,296.051,24.531,0.567,21,0,1,0,65,11,1,3.451,0,18,0,3
208,20538.98,20651.26,112.28,270.246,28.249,4.316,22,0,1,0,53,12,2,5.251,0,17,1,4
209,20651.26,20773.26,122.00,309.773,25.966,0.417,22,0,1,0,61,16,2,5.551,0,18,2,2
210,20773.26,20881.76,108.50,325.836,26.236,2.716,22,0,1,0,65,17,2,7.801,0,18,0,4
211,20881.76,20993.14,111.38,249.238,25.695,0.517,21,0,1,0,54,11,1,4.501,0,14,2,5
212,20993.14,21104.66,111.52,243.824,27.165,0.916,21,0,1,0,54,9,1,5.101,0,11,2,8
213,21104.66,21222.24,117.58,339.922,27.440,0.267,23,0,1,0,69,12,3,5.251,0,18,2,3
214,21222.24,21349.22,126.98,330.094,28.314,3.116,23,0,1,0,66,13,3,5.401,0,15,1,7
215,21349.22,21455.24,106.02,265.781,27.356,4.582,21,0,1,0,55,11,1,2.700,0,16,1,4
216,21455.24,21575.52,120.28,358.418,27.927,1.716,23,0,1,0,65,16,3,6.301,0,20,2,1
217,21575.52,21643.74,68.22,197.008,25.735,1.683,20,0,0,0,45,10,0,1.950,0,14,2,4
218,21643.74,21710.44,66.70,237.555,22.697,0.300,20,0,0,0,49,13,0,1.800,0,17,2,1
219,21710.44,21815.00,104.56,296.117,29.718,4.216,22,0,1,0,61,15,2,3.751,0,15,0,7
220,21815.00,21919.76,104.76,272.508,26.188,1.133,21,0,1,0,56,11,1,4.951,0,17,0,4
221,21919.76,22030.96,111.20,327.453,29.533,4.649,22,0,1,0,66,11,2,4.201,0,16,1,5
222,22030.96,22096.64,65.68,248.902,23.834,2.291,20,0,0,0,52,10,0,2.400,0,16,1,3
223,22096.64,22166.56,69.92,226.723,34.372,12.307,20,0,0,0,45,11,0,5.401,0,12,4,4
224,22166.56,22233.24,66.68,233.141,23.700,1.950,20,0,0,0,56,9,0,1.950,0,12,1,7
225,22233.24,22340.42,107.18,261.625,31.265,2.816,21,0,1,0,54,10,1,5.701,0,16,2,3
226,22340.42,22460.12,119.70,275.227,36.413,7.498,22,0,1,0,55,10,2,4.501,0,18,1,3
227,22460.12,22567.80,107.68,276.762,28.313,2.716,21,0,1,0,58,15,1,4.201,0,20,0,1
228,22567.80,22668.00,100.20,289.590,26.512,2.199,22,0,1,0,58,8,2,6.901,0,15,3,5
229,22668.00,22737.96,69.96,244.961,29.605,6.432,20,0,0,0,50,11,0,2.400,0,17,0,3
230,22737.96,22855.92,117.96,304.754,32.094,3.516,21,0,1,0,61,13,1,6.451,0,17,1,3
231,22855.92,22925.84,69.92,230.219,27.612,5.882,20,0,0,0,49,10,0,4.051,0,14,3,3
232,22925.84,23038.90,113.06,297.793,31.094,1.483,22,0,1,0,60,13,2,6.451,0,18,0,4
233,23038.90,23150.04,111.14,342.863,30.335,3.349,22,0,1,0,62,15,2,8.251,0,18,0,4
234,23150.04,23259.00,108.96,240.344,27.002,2.733,21,0,1,0,51,12,1,4.201,0,17,2,2
235,23259.00,23364.92,105.92,339.391,27.887,4.082,22,0,1,0,64,11,2,6.451,0,20,1,1
236,23364.92,23468.66,103.74,285.613,30.428,5.415,21,0,1,0,59,13,1,3.451,0,16,0,5
237,23468.66,23593.28,124.62,253.203,30.260,2.099,21,0,1,0,56,13,1,2.250,0,14,1,6
238,23593.28,23703.24,109.96,263.770,28.292,4.249,21,0,1,0,57,9,1,4.501,0,16,0,5
239,23703.24,23844.00,140.76,353.664,40.271,5.391,24,0,2,0,63,15,4,7.501,0,16,2,6
240,23844.00,23956.82,112.82,405.953,33.396,3.116,25,0,1,0,66,16,5,8.251,0,17,3,5
241,23956.82,24077.06,120.24,330.496,25.941,0.683,23,0,1,0,63,13,3,7.351,0,18,2,3
