episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
182,68.94,190.903,32.0,6.14,20,0,0,0,50,12,0,3.9,0,18,1,1
183,117.08,208.467,32.167,5.832,22,0,1,0,52,8,2,5.85,0,12,5,5
184,117.36,188.554,27.528,1.616,21,0,1,0,48,12,1,3.75,0,14,3,4
185,101.96,180.874,31.567,6.398,21,0,1,0,54,9,1,1.8,0,12,0,9
186,69.94,164.901,27.422,2.199,20,0,0,0,50,9,0,1.2,0,16,0,4
187,116.04,202.08,29.15,2.383,21,0,1,0,59,9,1,1.5,0,16,0,5
188,102.88,189.612,28.33,2.966,21,0,1,0,55,8,1,2.4,0,11,2,8
189,68.26,171.301,25.125,2.033,20,0,0,0,48,11,0,3.0,0,17,0,3
190,66.48,163.599,28.821,5.365,20,0,0,0,41,13,0,2.25,0,16,2,2
191,108.58,209.894,37.114,12.357,21,0,1,0,55,13,1,1.5,0,15,1,5
192,108.62,197.022,33.875,2.366,22,0,1,0,55,7,2,3.0,0,10,3,9
193,69.04,146.203,49.003,18.58,20,0,0,0,40,8,0,2.85,0,11,6,3
194,101.22,200.365,26.242,0.883,21,0,1,0,56,7,1,2.4,0,15,0,6
195,107.3,209.87,27.12,2.883,21,0,1,0,44,17,1,5.55,0,18,1,2
196,90.44,174.085,29.849,1.166,21,0,1,0,47,8,1,2.25,0,13,3,5
197,114.1,253.887,31.571,3.974,23,0,1,0,57,16,3,6.0,0,17,1,5
198,69.42,161.372,28.147,1.433,20,0,0,0,47,9,0,0.0,0,15,1,4
199,69.48,156.812,25.364,0.433,20,0,0,0,52,5,0,0.0,0,15,0,5
200,115.84,224.055,29.487,2.883,22,0,1,0,58,10,2,4.2,0,17,1,4
201,117.14,220.787,25.573,1.983,21,0,1,0,55,13,1,6.6,0,17,2,2
202,69.56,193.473,24.709,1.333,20,0,0,0,59,9,0,3.3,0,14,1,5
203,116.12,190.859,29.358,3.358,22,0,1,0,46,10,2,3.0,0,15,6,1
204,68.8,160.9,27.323,3.682,20,0,0,0,42,14,0,3.0,0,11,5,4
205,102.06,175.424,28.839,3.383,21,0,1,0,48,6,1,2.25,0,14,2,5
206,112.86,218.303,29.44,3.266,22,0,1,0,57,12,2,4.5,0,11,4,7
207,111.0,264.813,28.407,1.391,23,0,1,0,63,15,3,6.45,0,21,0,2
208,107.1,193.645,30.459,5.325,21,0,1,0,53,11,1,3.15,0,14,2,5
209,96.72,206.336,30.242,5.565,21,0,1,0,50,15,1,4.5,0,16,3,2
210,111.86,226.502,29.689,3.399,22,0,1,0,57,11,2,4.65,0,16,1,5
211,108.62,230.283,30.603,5.282,22,0,1,0,58,12,2,7.05,0,14,1,7
212,107.72,215.877,27.602,0.6,21,0,1,0,62,11,1,4.2,0,15,0,6
