episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
178,98924.78,99362.10,437.32,1222.875,213.820,104.273,60,0,5,0,278,111,30,70.082,0,6,37,17,0
179,99362.10,99775.90,413.80,1647.875,240.063,136.927,68,0,4,0,359,139,38,77.602,0,9,34,25,0
180,99775.90,100412.46,636.56,2179.344,169.426,34.178,80,0,5,0,489,191,50,103.619,0,26,34,20,0
181,100412.46,100946.28,533.82,2624.063,267.727,84.901,92,0,5,0,534,214,62,125.727,0,28,43,23,0
182,100946.28,101645.14,698.86,2408.438,217.801,43.925,88,0,7,0,545,206,58,111.891,0,26,41,21,0
183,101645.14,102348.36,703.22,2662.719,272.856,83.025,94,0,6,0,567,240,64,132.795,0,26,49,22,0
184,102348.36,103002.48,654.12,2072.313,205.570,44.989,78,0,7,0,480,180,48,102.266,0,22,30,27,0
185,103002.48,103571.46,568.98,1844.781,164.871,34.087,71,0,6,0,433,171,41,92.490,0,25,29,18,0
186,103571.46,104309.36,737.90,2273.406,254.934,74.748,85,0,7,0,530,198,55,103.318,0,21,38,26,0
187,104309.36,104708.96,399.60,1235.781,121.106,39.742,59,0,4,0,284,106,29,59.404,0,5,28,26,0
188,104708.96,105062.46,353.50,1216.438,118.258,26.371,56,0,3,0,302,100,26,61.059,0,10,22,24,0
189,105062.46,105555.70,493.24,1288.000,102.895,25.947,56,0,4,0,316,129,26,70.383,0,15,33,8,0
190,105555.70,106003.46,447.76,1353.688,120.438,30.276,54,0,3,0,355,134,24,68.879,0,17,21,17,0
191,106003.46,106443.42,439.96,1263.563,151.438,67.271,57,0,4,0,316,112,27,54.441,0,10,25,22,0
192,106443.42,106989.78,546.36,1714.219,186.617,63.965,70,0,4,0,407,139,40,77.451,0,14,26,31,0
193,106989.78,107431.98,442.20,1396.000,161.832,41.688,60,0,4,0,351,123,30,68.277,0,16,23,21,0
194,107431.98,108057.76,625.78,1532.594,221.438,76.479,63,0,6,0,383,144,33,73.842,0,13,28,22,0
195,108057.76,108649.44,591.68,1751.156,164.059,15.692,71,0,5,0,420,152,41,86.174,0,13,33,25,0
196,108649.44,108873.54,224.10,434.438,67.313,10.976,35,0,1,0,132,45,5,25.867,0,1,20,14,0
197,108873.54,109468.00,594.46,2329.719,193.609,34.026,82,0,5,0,493,216,52,120.162,0,24,44,14,0
198,109468.00,109904.00,436.00,1396.000,233.242,113.418,62,0,3,0,309,133,32,66.172,0,10,37,15,0
199,109904.00,110448.06,544.06,2222.313,259.156,89.109,81,0,5,0,479,198,51,113.996,0,19,40,22,0
200,110448.06,111018.56,570.50,2227.688,216.914,35.438,82,0,5,0,499,194,52,115.199,0,25,30,27,0
201,111018.56,111616.70,598.14,1703.313,133.188,34.487,68,0,6,0,417,158,38,81.211,0,22,31,16,0
202,111616.70,112053.18,436.48,1098.688,165.094,67.140,56,0,4,0,260,99,26,54.141,0,7,31,18,0
203,112053.18,112580.38,527.20,1877.781,157.004,28.939,71,0,4,0,417,177,41,97.303,0,23,37,11,0
204,112580.38,113134.06,553.68,1809.625,185.102,67.656,71,0,5,0,411,163,41,100.762,0,23,30,18,0
205,113134.06,113654.98,520.92,1959.750,195.863,61.553,74,0,4,0,448,171,44,97.453,0,27,26,21,0
206,113654.98,114122.02,467.04,1864.063,339.035,175.631,74,0,3,0,383,151,44,86.324,0,7,40,27,0
207,114122.02,114669.50,547.48,1654.969,198.781,60.410,69,0,6,0,403,147,39,80.459,0,19,27,24,0
208,114669.50,115231.10,561.60,1514.656,130.543,32.188,63,0,5,0,377,143,33,67.225,0,14,30,19,0
209,115231.10,115794.20,563.10,2069.375,161.754,40.380,77,0,5,0,464,186,47,101.965,0,25,33,20,0
210,115794.20,116448.94,654.74,2779.469,397.508,193.639,93,0,6,0,579,240,63,139.111,0,32,47,14,0
211,116448.94,117090.04,641.10,2217.375,210.203,60.290,84,0,6,0,477,207,54,102.266,0,24,38,23,0
212,117090.04,117596.28,506.24,1605.875,148.629,54.172,67,0,5,0,360,150,37,74.293,0,12,38,17,0
213,117596.28,118148.30,552.02,2061.813,149.137,42.171,81,0,5,0,425,188,51,97.152,0,18,43,20,0
214,118148.30,118576.60,428.30,984.094,95.988,17.734,52,0,4,0,256,87,22,45.568,0,9,26,17,0
215,118576.60,119048.86,472.26,2129.656,265.371,144.040,77,0,3,0,432,193,47,102.115,0,15,45,17,0
216,119048.86,119630.58,581.72,2031.688,341.883,177.048,79,0,5,0,449,172,49,107.078,0,17,40,22,0
217,119630.58,120226.90,596.32,2273.656,202.637,72.727,82,0,7,0,491,207,52,111.440,0,26,37,19,0
218,120226.90,120695.88,468.98,1185.313,131.879,46.332,53,0,4,0,327,106,23,54.742,0,15,12,26,0
219,120695.88,121171.98,476.10,1568.719,193.574,52.195,65,0,4,0,380,135,35,85.271,0,15,24,26,0
220,121171.98,121605.26,433.28,1938.188,193.574,65.902,75,0,4,0,425,161,45,93.543,0,20,26,29,0
221,121605.26,122241.50,636.24,2228.094,318.773,162.147,83,0,6,0,492,189,53,118.658,0,23,33,28,0
222,122241.50,122878.02,636.52,2377.781,256.988,98.641,83,0,5,0,519,222,53,121.666,0,22,41,20,0
223,122878.02,123469.60,591.58,2435.219,250.859,78.981,85,0,5,0,519,218,55,116.252,0,26,40,20,0
224,123469.60,124107.00,637.40,3012.438,255.379,60.498,102,0,6,0,611,263,72,141.367,0,34,44,24,0
225,124107.00,124629.08,522.08,1764.344,142.375,28.839,68,0,4,0,396,165,38,87.678,0,18,32,18,0
226,124629.08,125207.14,578.06,1465.656,115.426,20.906,61,0,5,0,363,135,31,74.744,0,14,26,21,0
